Codigo;Nome;CodigoAdicional;Latitude;Longitude;Altitude;AreaDrenagem
24050000;ALTO ARAGUAIA;;-17.3011;-53.2172;655;2080
24200000;TORIXOREU;;-16.2006;-52.5497;314;18400
24500000;TESOURO;ANA;-16.0778;-53.5481;391;5280
24700000;BARRA DO GARÇAS;ANA;-15.8914;-52.2278;;36800
24850000;ARAGUAIANA;ANA;-15.7381;-51.8281;278;50100
24900000;IVOLÂNDIA;;-16.5125;-50.9967;487;2060
24950000;MONTES CLAROS DE GOIÁS;ANA;-15.9397;-51.3575;;10100
25100000;BALNEÁRIO CACHOEIRA GRANDE;ANA;-15.9222;-50.1717;474;229
25130000;TRAVESSÃO;ANA;-15.5358;-50.7047;;5310
25200000;ARUANÃ;ANA;-14.9128;-51.0814;237;76300
25700000;BANDEIRANTES;ANA;-13.6897;-50.8;276.2;92300
25800000;JUSANTE DO RIO PINTADO;;-13.5614;-50.4011;;18300
26050000;TORIQUEJE;;-15.2492;-53.0558;339;17700
26100000;XAVANTINA;ANA;-14.6725;-52.355;266;25300
26200000;TRECHO MÉDIO;ANA;-14.0867;-51.6964;232;41100
26300000;SANTO ANTÔNIO DO LEVERGER;;-12.2919;-50.9636;205;59300
26350000;SÃO FÉLIX DO ARAGUAIA;ANA;-11.6181;-50.6625;226;194000
26710000;BARREIRA DO PEQUI;ANA;-12.0986;-49.9481;108;8150
26720000;PRAIA ALTA;;-12.4178;-49.5892;209;6610
26800000;BARREIRA DA CRUZ;ANA;-10.5647;-49.9342;220;35800
27380000;PONTE RIO PIRANHAS;;-9.1839;-49.3775;163;1660
27500000;CONCEIÇÃO DO ARAGUAIA;ANA;-8.2694;-49.2594;141.9;332000
27550000;ARAPOEMA;;-7.6136;-49.0453;167;1150
28150000;MURICILÂNDIA;;-7.1464;-48.6108;193;1580
28240000;PIRAQUÊ;;-6.6717;-48.4697;211;3470
28300000;XAMBIOÁ;ANA;-6.4097;-48.5422;118;377000
28850000;ARAGUATINS;ANA;-5.6514;-48.1325;98;388000
